Column Number	R Name	Excel Export Name from survey gizmo	R column name from csv import	Column name from csv export from survey gizmo
37	NS3Q4	College and career readiness:NS3	College.and.career.readiness.NS3	College and career readiness:NS3
38	NS3Q5	Drop in center/homeless/runaway services:NS3	Drop.in.center.homeless.runaway.services.NS3	Drop in center/homeless/runaway services:NS3
39	NS3Q6	Education (Primary or Secondary school):NS3	Education..Primary.or.Secondary.school..NS3	Education (Primary or Secondary school):NS3
40	NS3Q7	Empowerment/leadership development:NS3	Empowerment.leadership.development.NS3	Empowerment/leadership development:NS3
41	NS3Q8	Foster care or services for foster youth:NS3	Foster.care.or.services.for.foster.youth.NS3	Foster care or services for foster youth:NS3
42	NS3Q9	Independent living/transition-aged youth services:NS3	Independent.living.transition.aged.youth.services.NS3	Independent living/transition-aged youth services:NS3
43	NS3Q10	Medical/healthcare services:NS3	Medical.healthcare.services.NS3	Medical/healthcare services:NS3
44	NS3Q11	Mental health prevention and wellness:NS3	Mental.health.prevention.and.wellness.NS3	Mental health prevention and wellness:NS3
45	NS3Q12	Outpatient psychiatric treatment:NS3	Outpatient.psychiatric.treatment.NS3	Outpatient psychiatric treatment:NS3
46	NS3Q13	Positive youth development:NS3	Positive.youth.development.NS3	Positive youth development:NS3
47	NS3Q14	Pregnancy prevention:NS3	Pregnancy.prevention.NS3	Pregnancy prevention:NS3
48	NS3Q15	Psychological counseling:NS3	Psychological.counseling.NS3	Psychological counseling:NS3
49	NS3Q16	Residential or inpatient psychiatric treatment:NS3	Residential.or.inpatient.psychiatric.treatment.NS3	Residential or inpatient psychiatric treatment:NS3
50	NS3Q17	Service learning/volunteerism:NS3	Service.learning.volunteerism.NS3	Service learning/volunteerism:NS3
51	NS3Q18	Services for juvenile justice-involved youth:NS3	Services.for.juvenile.justice.involved.youth.NS3	Services for juvenile justice-involved youth:NS3
52	NS3Q19	Services for pregnant and parenting teens:NS3	Services.for.pregnant.and.parenting.teens.NS3	Services for pregnant and parenting teens:NS3
53	NS3Q20	Services for youth with disabilities:NS3	Services.for.youth.with.disabilities.NS3	Services for youth with disabilities:NS3
54	NS3Q21	Substance use disorder prevention or treatment:NS3	Substance.use.disorder.prevention.or.treatment.NS3	Substance use disorder prevention or treatment:NS3
55	NS3Q22	Violence prevention:NS3	Violence.prevention.NS3	Violence prevention:NS3
56	NS3Q23	Workforce development:NS3	Workforce.development.NS3	Workforce development:NS3
57	NS3QO	Other - Write In:NS3	Other...Write.In.NS3	Other - Write In:NS3
58	NS3QO1	Other - Write In:NS3	Other...Write.In.NS3.1	Other - Write In:NS3
59	NS4Q1	Media/Public relations:NS4	Media.Public.relations.NS4	Media/Public relations:NS4
60	NS4Q2	National Mentoring Month events and promotions:NS4	National.Mentoring.Month.events.and.promotions.NS4	National Mentoring Month events and promotions:NS4
61	NS4Q3	"Online outreach (Facebook, program website, etc.):NS4"	Online.outreach..Facebook..program.website..etc...NS4	"Online outreach (Facebook, program website, etc.):NS4"
62	NS4Q4	Community events and in-person presentations by staff:NS4	Community.events.and.in.person.presentations.by.staff.NS4	Community events and in-person presentations by staff:NS4
63	NS4Q5	Referrals from community partners:NS4	Referrals.from.community.partners.NS4	Referrals from community partners:NS4
64	NS4Q6	Referrals from the Mentoring Connector database:NS4	Referrals.from.the.Mentoring.Connector.database.NS4	Referrals from the Mentoring Connector database:NS4
65	NS4Q7	Referrals from our local <em>Mentoring Partnership</em>:NS4	Referrals.from.our.local..em.Mentoring.Partnership..em..NS4	Referrals from our local <em>Mentoring Partnership</em>:NS4
66	NS4Q8	Volunteer Centers and other volunteer organizations:NS4	Volunteer.Centers.and.other.volunteer.organizations.NS4	Volunteer Centers and other volunteer organizations:NS4
67	NS4Q9	Word-of-mouth from current or former mentors:NS4	Word.of.mouth.from.current.or.former.mentors.NS4	Word-of-mouth from current or former mentors:NS4
68	NS4Q10	Other - Write In:NS4	Other...Write.In.NS4	Other - Write In:NS4
69	NS4Q11	Other - Write In:NS4	Other...Write.In.NS4.1	Other - Write In:NS4
70	NS5	NS5	NS5	NS5
71	NS6Q1	MENTOR: The National Mentoring Partnership:NS6	MENTOR..The.National.Mentoring.Partnership.NS6	MENTOR: The National Mentoring Partnership:NS6
72	NS6Q2	State or Local Mentoring Partnership:NS6	State.or.Local.Mentoring.Partnership.NS6	State or Local Mentoring Partnership:NS6
73	NS6Q3	National Mentoring Resource Center:NS6	National.Mentoring.Resource.Center.NS6	National Mentoring Resource Center:NS6
74	NS6Q4	United Way or other funding agency:NS6	United.Way.or.other.funding.agency.NS6	United Way or other funding agency:NS6
75	NS6Q7	For-profit consulting firm:NS6	For.profit.consulting.firm.NS6	For-profit consulting firm:NS6
76	NS6Q	Nonprofit consulting firm:NS6	Nonprofit.consulting.firm.NS6	Nonprofit consulting firm:NS6
77	NS6QO	Other - Write In:NS6	Other...Write.In.NS6	Other - Write In:NS6
78	NS6QO1	Other - Write In:NS6	Other...Write.In.NS6.1	Other - Write In:NS6
79	NS7Q1	Blending mentoring with other services:NS7	Blending.mentoring.with.other.services.NS7	Blending mentoring with other services:NS7
80	NS7Q2	Cultural perspectives in service design and delivery:NS7	Cultural.perspectives.in.service.design.and.delivery.NS7	Cultural perspectives in service design and delivery:NS7
81	NS7Q3	Developing meaningful activities for mentors and youth:NS7	Developing.meaningful.activities.for.mentors.and.youth.NS7	Developing meaningful activities for mentors and youth:NS7
82	NS7Q4	Fundraising/grantwriting:NS7	Fundraising.grantwriting.NS7	Fundraising/grantwriting:NS7
83	NS7Q5	General program design/theory of change:NS7	General.program.design.theory.of.change.NS7	General program design/theory of change:NS7
84	NS7Q6	Integrating youth development principles:NS7	Integrating.youth.development.principles.NS7	Integrating youth development principles:NS7
85	NS7Q7	Making strong mentor-mentee matches:NS7	Making.strong.mentor.mentee.matches.NS7	Making strong mentor-mentee matches:NS7
86	NS7Q8	Mentor recruitment:NS7	Mentor.recruitment.NS7	Mentor recruitment:NS7
87	NS7Q9	Mentor training (including curriculum development):NS7	Mentor.training..including.curriculum.development..NS7	Mentor training (including curriculum development):NS7
88	NS7Q10	Offering mentoring in rural settings:NS7	Offering.mentoring.in.rural.settings.NS7	Offering mentoring in rural settings:NS7
89	NS7Q11	Parent/family engagement:NS7	Parent.family.engagement.NS7	Parent/family engagement:NS7
90	NS7Q12	Partnership development:NS7	Partnership.development.NS7	Partnership development:NS7
91	NS7Q13	Professional development of staff:NS7	Professional.development.of.staff.NS7	Professional development of staff:NS7
92	NS7Q14	Program evaluation/data collection:NS7	Program.evaluation.data.collection.NS7	Program evaluation/data collection:NS7
93	NS7Q15	Program sustainability/growth:NS7	Program.sustainability.growth.NS7	Program sustainability/growth:NS7
94	NS7Q16	Supporting mentor-mentee matches:NS7	Supporting.mentor.mentee.matches.NS7	Supporting mentor-mentee matches:NS7
95	NS7Q1O	Other - Write In:NS7	Other...Write.In.NS7	Other - Write In:NS7
96	NS7QO1	Other - Write In:NS7	Other...Write.In.NS7.1	Other - Write In:NS7
97	NS8Q1	"Qualitative evaluation (examines participant experiences through interviews, end-of-year satisfaction surveys, case notes, focus groups, or other data sources):NS8"	Qualitative.evaluation..examines.participant.experiences.through.interviews..end.of.year.satisfaction.surveys..case.notes..focus.groups..or.other.data.sources..NS8	"Qualitative evaluation (examines participant experiences through interviews, end-of-year satisfaction surveys, case notes, focus groups, or other data sources):NS8"
98	NS8Q2	"Implementation evaluation (examines how well or efficiently services were delivered to participants, such as tracking mentor-mentee meetings, participation in trainings, etc .):NS8"	Implementation.evaluation..examines.how.well.or.efficiently.services.were.delivered.to.participants..such.as.tracking.mentor.mentee.meetings..participation.in.trainings..etc....NS8	"Implementation evaluation (examines how well or efficiently services were delivered to participants, such as tracking mentor-mentee meetings, participation in trainings, etc .):NS8"
99	NS8Q3	Outcome evaluation (examines changes in participants served using pre-post data collection):NS8	Outcome.evaluation..examines.changes.in.participants.served.using.pre.post.data.collection..NS8	Outcome evaluation (examines changes in participants served using pre-post data collection):NS8
100	NS8Q4	Experimental or quasi-experimental  evaluation (compares mentored youth to a comparison or ìcontrolî group of non-mentored youth):NS8	Experimental.or.quasi.experimental..evaluation..compares.mentored.youth.to.a.comparison.or.‚.úcontrol‚...group.of.non.mentored.youth..NS8	Experimental or quasi-experimental  evaluation (compares mentored youth to a comparison or ‚Äúcontrol‚Äù group of non-mentored youth):NS8
101	NS8Q5	"Return-on-investment study (examines long-term impacts from an economic perspective, often in relation to program costs):NS8"	Return.on.investment.study..examines.long.term.impacts.from.an.economic.perspective..often.in.relation.to.program.costs..NS8	"Return-on-investment study (examines long-term impacts from an economic perspective, often in relation to program costs):NS8"
102	NS8Q6	We haven't engaged in any evaluation activities:NS8	We.haven.t.engaged.in.any.evaluation.activities.NS8	We haven't engaged in any evaluation activities:NS8
103	NS8QO	Other - Write In:NS8	Other...Write.In.NS8	Other - Write In:NS8
104	NS8QO1	Other - Write In:NS8	Other...Write.In.NS8.1	Other - Write In:NS8
105	NS9Q1	Executive Director/Program Coordinator:NS9	Executive.Director.Program.Coordinator.NS9	Executive Director/Program Coordinator:NS9
106	NS9Q2	Staff evaluation specialist (internal staff):NS9	Staff.evaluation.specialist..internal.staff..NS9	Staff evaluation specialist (internal staff):NS9
107	NS9Q3	Professional external evaluator:NS9	Professional.external.evaluator.NS9	Professional external evaluator:NS9
108	NS9Q4	Funding agency or philanthropy:NS9	Funding.agency.or.philanthropy.NS9	Funding agency or philanthropy:NS9
109	NS9Q5	Our local Mentoring Partnership:NS9	Our.local.Mentoring.Partnership.NS9	Our local Mentoring Partnership:NS9
110	NS9Q6	School or district staff:NS9	School.or.district.staff.NS9	School or district staff:NS9
111	NS9Q7	We have not done any evaluation work:NS9	We.have.not.done.any.evaluation.work.NS9	We have not done any evaluation work:NS9
112	NS9QO	Other - Write In:NS9	Other...Write.In.NS9	Other - Write In:NS9
113	NS9QO1	Other - Write In:NS9	Other...Write.In.NS9.1	Other - Write In:NS9
114	OHA1Q1	Regular referral of mentors to Mentoring Center training:OHA1	Regular.referral.of.mentors.to.Mentoring.Center.training.OHA1	Regular referral of mentors to Mentoring Center training:OHA1
115	OHA1Q2	"Referral of mentors to the Mentoring Centerís <a href=""http://www.metoringcenterco.org"" target=""_blank"">website</a>:OHA1"	Referral.of.mentors.to.the.Mentoring.Center‚..s..a.href..http...www.metoringcenterco.org..target.._blank..website..a..OHA1	"Referral of mentors to the Mentoring Center‚Äôs <a href=""http://www.metoringcenterco.org"" target=""_blank"">website</a>:OHA1"
116	OHA1Q3	Participation in Mentoring Month January Celebrations:OHA1	Participation.in.Mentoring.Month.January.Celebrations.OHA1	Participation in Mentoring Month January Celebrations:OHA1
117	OHA1Q4	Nomination of Outstanding Mentor and/or Mentee awards:OHA1	Nomination.of.Outstanding.Mentor.and.or.Mentee.awards.OHA1	Nomination of Outstanding Mentor and/or Mentee awards:OHA1
118	OHA1Q5	Participation in January FunDay at OSU (for partner agencies only in central Ohio):OHA1	Participation.in.January.FunDay.at.OSU..for.partner.agencies.only.in.central.Ohio..OHA1	Participation in January FunDay at OSU (for partner agencies only in central Ohio):OHA1
119	OHA1Q6	Promotion of activities through Mentoring Center email alerts:OHA1	Promotion.of.activities.through.Mentoring.Center.email.alerts.OHA1	Promotion of activities through Mentoring Center email alerts:OHA1
120	OHA1Q7	E-newsletter:OHA1	E.newsletter.OHA1	E-newsletter:OHA1
121	OHA1Q8	"Scheduling of on-site mentor/mentee training of life skill (goal-setting, leadership, etc.):OHA1"	Scheduling.of.on.site.mentor.mentee.training.of.life.skill..goal.setting..leadership..etc...OHA1	"Scheduling of on-site mentor/mentee training of life skill (goal-setting, leadership, etc.):OHA1"
122	OHA1Q9	Sending mentors to the Mentoring Center for background checks:OHA1	Sending.mentors.to.the.Mentoring.Center.for.background.checks.OHA1	Sending mentors to the Mentoring Center for background checks:OHA1
123	OHA1Q10	Referral of staff for background checks:OHA1	Referral.of.staff.for.background.checks.OHA1	Referral of staff for background checks:OHA1
124	OHA1Q11	Inclusion of the Mentoring Center in your grants or other supports:OHA1	Inclusion.of.the.Mentoring.Center.in.your.grants.or.other.supports.OHA1	Inclusion of the Mentoring Center in your grants or other supports:OHA1
125	OHA1Q12	Attendance at a Design and Build session ( Element of Effective Practice for Mentoring) prior to becoming a partner agency:OHA1	Attendance.at.a.Design.and.Build.session...Element.of.Effective.Practice.for.Mentoring..prior.to.becoming.a.partner.agency.OHA1	Attendance at a Design and Build session ( Element of Effective Practice for Mentoring) prior to becoming a partner agency:OHA1
126	OHA2Q1	Mentors' expectations are (now) better aligned with what they are likely to encounter:OHA2	Mentors..expectations.are..now..better.aligned.with.what.they.are.likely.to.encounter.OHA2	Mentors' expectations are (now) better aligned with what they are likely to encounter:OHA2
127	OHA2Q2	Mentors understand appropriate roles for themselves:OHA2	Mentors.understand.appropriate.roles.for.themselves.OHA2	Mentors understand appropriate roles for themselves:OHA2
128	OHA2Q3	"Mentors see that their goal is to address the whole child, including coaching and life skills (e.g. decision-making):OHA2"	Mentors.see.that.their.goal.is.to.address.the.whole.child..including.coaching.and.life.skills..e.g..decision.making..OHA2	"Mentors see that their goal is to address the whole child, including coaching and life skills (e.g. decision-making):OHA2"
129	OHA2Q4	Mentors have ideas for overcoming obstacles in achieving a relationship with their mentee:OHA2	Mentors.have.ideas.for.overcoming.obstacles.in.achieving.a.relationship.with.their.mentee.OHA2	Mentors have ideas for overcoming obstacles in achieving a relationship with their mentee:OHA2
130	OHA2Q5	Mentors understand the importance of having fun as part of establishing a quality relationship with their mentee:OHA2	Mentors.understand.the.importance.of.having.fun.as.part.of.establishing.a.quality.relationship.with.their.mentee.OHA2	Mentors understand the importance of having fun as part of establishing a quality relationship with their mentee:OHA2
131	OHA2Q6	Mentors have good understanding of when an issue needs to be reported to their agency program coordinator:OHA2	Mentors.have.good.understanding.of.when.an.issue.needs.to.be.reported.to.their.agency.program.coordinator.OHA2	Mentors have good understanding of when an issue needs to be reported to their agency program coordinator:OHA2
132	OHA2QO	Other - Write In:OHA2	Other...Write.In.OHA2	Other - Write In:OHA2
133	OHA2QO1	Other - Write In:OHA2	Other...Write.In.OHA2.1	Other - Write In:OHA2
134	VAA1Q1	Mentor training:VAA1	Mentor.training.VAA1	Mentor training:VAA1
135	VAA1Q2	Program staff training:VAA1	Program.staff.training.VAA1	Program staff training:VAA1
136	VAA1Q3	Consultation on new program development:VAA1	Consultation.on.new.program.development.VAA1	Consultation on new program development:VAA1
137	VAA1Q4	Consultation on existing program capacity building:VAA1	Consultation.on.existing.program.capacity.building.VAA1	Consultation on existing program capacity building:VAA1
138	VAA1Q5	Technical assistance through the NMRC:VAA1	Technical.assistance.through.the.NMRC.VAA1	Technical assistance through the NMRC:VAA1
139	VAA1Q6	AmeriCorps VISTA:VAA1	AmeriCorps.VISTA.VAA1	AmeriCorps VISTA:VAA1
140	VAA1Q7	Quality-Based Membership:VAA1	Quality.Based.Membership.VAA1	Quality-Based Membership:VAA1
141	VAA1Q8	Affiliate Membership:VAA1	Affiliate.Membership.VAA1	Affiliate Membership:VAA1
142	VAA1Q9	Newsletters:VAA1	Newsletters.VAA1	Newsletters:VAA1
143	VAA1Q10	Website:VAA1	Website.VAA1	Website:VAA1
144	VAA1Q11	Annual Event:VAA1	Annual.Event.VAA1	Annual Event:VAA1
145	VAA1Q12	Referrals:VAA1	Referrals.VAA1	Referrals:VAA1
146	VAA2Q1	Mentor training:VAA2	Mentor.training.VAA2	Mentor training:VAA2
147	VAA2Q2	Program staff training:VAA2	Program.staff.training.VAA2	Program staff training:VAA2
148	VAA2Q3	Consultation on new program development:VAA2	Consultation.on.new.program.development.VAA2	Consultation on new program development:VAA2
149	VAA2Q4	Consultation on existing program development:VAA2	Consultation.on.existing.program.development.VAA2	Consultation on existing program development:VAA2
150	VAA2Q5	Technical assistance through the NMRC:VAA2	Technical.assistance.through.the.NMRC.VAA2	Technical assistance through the NMRC:VAA2
151	VAA2Q6	AmeriCorps VISTA:VAA2	AmeriCorps.VISTA.VAA2	AmeriCorps VISTA:VAA2
152	VAA2Q7	Quality-Based Membership:VAA2	Quality.Based.Membership.VAA2	Quality-Based Membership:VAA2
153	VAA2Q8	Affiliate Membership:VAA2	Affiliate.Membership.VAA2	Affiliate Membership:VAA2
154	VAA2Q9	Newsletters:VAA2	Newsletters.VAA2	Newsletters:VAA2
155	VAA2Q10	Website:VAA2	Website.VAA2	Website:VAA2
156	VAA2Q11	Annual Event:VAA2	Annual.Event.VAA2	Annual Event:VAA2
157	VAA2Q12	Referrals:VAA2	Referrals.VAA2	Referrals:VAA2
158	VAA3Q1	Building blocks for mentoring programs (building a foundation in Elements of Effective Practice):VAA3	Building.blocks.for.mentoring.programs..building.a.foundation.in.Elements.of.Effective.Practice..VAA3	Building blocks for mentoring programs (building a foundation in Elements of Effective Practice):VAA3
159	VAA3Q2	Match support/mentor retention:VAA3	Match.support.mentor.retention.VAA3	Match support/mentor retention:VAA3
160	VAA3Q3	Screening mentors:VAA3	Screening.mentors.VAA3	Screening mentors:VAA3
161	VAA3Q4	Volunteer and mentor recruitment:VAA3	Volunteer.and.mentor.recruitment.VAA3	Volunteer and mentor recruitment:VAA3
162	VAA3Q5	Program evaluation:VAA3	Program.evaluation.VAA3	Program evaluation:VAA3
163	VAA3QO	Other - Write In:VAA3	Other...Write.In.VAA3	Other - Write In:VAA3
164	VAA3QO1	Other - Write In:VAA3	Other...Write.In.VAA3.1	Other - Write In:VAA3
165	VAA4Q1	Becoming a more culturally competent mentor:VAA4	Becoming.a.more.culturally.competent.mentor.VAA4	Becoming a more culturally competent mentor:VAA4
166	VAA4Q2	Understanding youth culture:VAA4	Understanding.youth.culture.VAA4	Understanding youth culture:VAA4
167	VAA4Q3	Walking with mentees on the path to college:VAA4	Walking.with.mentees.on.the.path.to.college.VAA4	Walking with mentees on the path to college:VAA4
168	VAA4Q4	"Child development, generational difference and communication:VAA4"	Child.development..generational.difference.and.communication.VAA4	"Child development, generational difference and communication:VAA4"
169	VAA4Q5	Academic mentoring:VAA4	Academic.mentoring.VAA4	Academic mentoring:VAA4
170	VAA4QO	Other - Write In:VAA4	Other...Write.In.VAA4	Other - Write In:VAA4
171	VAA4QO1	Other - Write In:VAA4	Other...Write.In.VAA4.1	Other - Write In:VAA4
172	MNA1	MNA1	MNA1	MNA1
173	MNA2NAME	Name:MNA2	Name.MNA2	Name:MNA2
174	MNA2EMAIL	Email:MNA2	Email.MNA2	Email:MNA2
175	MNA3Q1	Accessed in 2015 or currently access:Quality Mentoring Assessment Path (QMAP):MNA3	Accessed.in.2015.or.currently.access.Quality.Mentoring.Assessment.Path..QMAP..MNA3	Accessed in 2015 or currently access:Quality Mentoring Assessment Path (QMAP):MNA3
176	MNA3Q2	Would like to access in the future:Quality Mentoring Assessment Path (QMAP):MNA3	Would.like.to.access.in.the.future.Quality.Mentoring.Assessment.Path..QMAP..MNA3	Would like to access in the future:Quality Mentoring Assessment Path (QMAP):MNA3
177	MNA3Q3	Accessed in 2015 or currently access:Training for staff:MNA3	Accessed.in.2015.or.currently.access.Training.for.staff.MNA3	Accessed in 2015 or currently access:Training for staff:MNA3
178	MNA3Q4	Would like to access in the future:Training for staff:MNA3	Would.like.to.access.in.the.future.Training.for.staff.MNA3	Would like to access in the future:Training for staff:MNA3
179	MNA3Q5	Accessed in 2015 or currently access:Training for mentors:MNA3	Accessed.in.2015.or.currently.access.Training.for.mentors.MNA3	Accessed in 2015 or currently access:Training for mentors:MNA3
180	MNA3Q6	Would like to access in the future:Training for mentors:MNA3	Would.like.to.access.in.the.future.Training.for.mentors.MNA3	Would like to access in the future:Training for mentors:MNA3
181	MNA3Q7	Accessed in 2015 or currently access:Training for mentees:MNA3	Accessed.in.2015.or.currently.access.Training.for.mentees.MNA3	Accessed in 2015 or currently access:Training for mentees:MNA3
182	MNA3Q8	Would like to access in the future:Training for mentees:MNA3	Would.like.to.access.in.the.future.Training.for.mentees.MNA3	Would like to access in the future:Training for mentees:MNA3
183	MNA3Q9	Accessed in 2015 or currently access:Training webinars:MNA3	Accessed.in.2015.or.currently.access.Training.webinars.MNA3	Accessed in 2015 or currently access:Training webinars:MNA3
184	MNA3Q10	Would like to access in the future:Training webinars:MNA3	Would.like.to.access.in.the.future.Training.webinars.MNA3	Would like to access in the future:Training webinars:MNA3
185	MNA3Q11	Accessed in 2015 or currently access:Minnesota Mentoring Conference:MNA3	Accessed.in.2015.or.currently.access.Minnesota.Mentoring.Conference.MNA3	Accessed in 2015 or currently access:Minnesota Mentoring Conference:MNA3
186	MNA3Q12	Would like to access in the future:Minnesota Mentoring Conference:MNA3	Would.like.to.access.in.the.future.Minnesota.Mentoring.Conference.MNA3	Would like to access in the future:Minnesota Mentoring Conference:MNA3
187	MNA3Q13	Accessed in 2015 or currently access:Program consultation or technical assistance:MNA3	Accessed.in.2015.or.currently.access.Program.consultation.or.technical.assistance.MNA3	Accessed in 2015 or currently access:Program consultation or technical assistance:MNA3
188	MNA3Q14	Would like to access in the future:Program consultation or technical assistance:MNA3	Would.like.to.access.in.the.future.Program.consultation.or.technical.assistance.MNA3	Would like to access in the future:Program consultation or technical assistance:MNA3
189	MNA3Q15	Accessed in 2015 or currently access:E-Newsletters:MNA3	Accessed.in.2015.or.currently.access.E.Newsletters.MNA3	Accessed in 2015 or currently access:E-Newsletters:MNA3
190	MNA3Q16	Would like to access in the future:E-Newsletters:MNA3	Would.like.to.access.in.the.future.E.Newsletters.MNA3	Would like to access in the future:E-Newsletters:MNA3
191	MNA3Q17	Accessed in 2015 or currently access:Resources (online and printed):MNA3	Accessed.in.2015.or.currently.access.Resources..online.and.printed..MNA3	Accessed in 2015 or currently access:Resources (online and printed):MNA3
192	MNA3Q18	Would like to access in the future:Resources (online and printed):MNA3	Would.like.to.access.in.the.future.Resources..online.and.printed..MNA3	Would like to access in the future:Resources (online and printed):MNA3
193	MNA3Q19	Accessed in 2015 or currently access:Website listing for mentoring program:MNA3	Accessed.in.2015.or.currently.access.Website.listing.for.mentoring.program.MNA3	Accessed in 2015 or currently access:Website listing for mentoring program:MNA3
194	MNA3Q20	Would like to access in the future:Website listing for mentoring program:MNA3	Would.like.to.access.in.the.future.Website.listing.for.mentoring.program.MNA3	Would like to access in the future:Website listing for mentoring program:MNA3
195	MNA3Q21	Accessed in 2015 or currently access:Tools to support recruitment and public awareness campaigns:MNA3	Accessed.in.2015.or.currently.access.Tools.to.support.recruitment.and.public.awareness.campaigns.MNA3	Accessed in 2015 or currently access:Tools to support recruitment and public awareness campaigns:MNA3
196	MNA3Q22	Would like to access in the future:Tools to support recruitment and public awareness campaigns:MNA3	Would.like.to.access.in.the.future.Tools.to.support.recruitment.and.public.awareness.campaigns.MNA3	Would like to access in the future:Tools to support recruitment and public awareness campaigns:MNA3
197	MNA3Q23	Accessed in 2015 or currently access:Grant writing assistance / Letters of support for funding proposals:MNA3	Accessed.in.2015.or.currently.access.Grant.writing.assistance...Letters.of.support.for.funding.proposals.MNA3	Accessed in 2015 or currently access:Grant writing assistance / Letters of support for funding proposals:MNA3
198	MNA3Q24	Would like to access in the future:Grant writing assistance / Letters of support for funding proposals:MNA3	Would.like.to.access.in.the.future.Grant.writing.assistance...Letters.of.support.for.funding.proposals.MNA3	Would like to access in the future:Grant writing assistance / Letters of support for funding proposals:MNA3
199	MNA3Q25	Accessed in 2015 or currently access:Referrals to funding opportunities:MNA3	Accessed.in.2015.or.currently.access.Referrals.to.funding.opportunities.MNA3	Accessed in 2015 or currently access:Referrals to funding opportunities:MNA3
200	MNA3Q26	Would like to access in the future:Referrals to funding opportunities:MNA3	Would.like.to.access.in.the.future.Referrals.to.funding.opportunities.MNA3	Would like to access in the future:Referrals to funding opportunities:MNA3
201	MNA3Q27	Accessed in 2015 or currently access:Alerts about upcoming legislation or public policy activities:MNA3	Accessed.in.2015.or.currently.access.Alerts.about.upcoming.legislation.or.public.policy.activities.MNA3	Accessed in 2015 or currently access:Alerts about upcoming legislation or public policy activities:MNA3
202	MNA3Q28	Would like to access in the future:Alerts about upcoming legislation or public policy activities:MNA3	Would.like.to.access.in.the.future.Alerts.about.upcoming.legislation.or.public.policy.activities.MNA3	Would like to access in the future:Alerts about upcoming legislation or public policy activities:MNA3
203	MNA3Q29	Accessed in 2015 or currently access:Opportunities to network with other mentoring organizations:MNA3	Accessed.in.2015.or.currently.access.Opportunities.to.network.with.other.mentoring.organizations.MNA3	Accessed in 2015 or currently access:Opportunities to network with other mentoring organizations:MNA3
204	MNA3Q30	Would like to access in the future:Opportunities to network with other mentoring organizations:MNA3	Would.like.to.access.in.the.future.Opportunities.to.network.with.other.mentoring.organizations.MNA3	Would like to access in the future:Opportunities to network with other mentoring organizations:MNA3
205	MNA4	MNA4	MNA4	MNA4
206	MNA6Q1	"None, we did not engage advocacy or public policy activities in 2015:MNA6"	None..we.did.not.engage.advocacy.or.public.policy.activities.in.2015.MNA6	"None, we did not engage advocacy or public policy activities in 2015:MNA6"
207	MNA6Q2	"Tracking local, state or federal policies:MNA6"	Tracking.local..state.or.federal.policies.MNA6	"Tracking local, state or federal policies:MNA6"
208	MNA6Q3	Attending public policy forums or information meetings:MNA6	Attending.public.policy.forums.or.information.meetings.MNA6	Attending public policy forums or information meetings:MNA6
209	MNA6Q4	Building relationships with local and/or state policy makers:MNA6	Building.relationships.with.local.and.or.state.policy.makers.MNA6	Building relationships with local and/or state policy makers:MNA6
